Source IP,Destination IP,Protocol,Source Port,Destination Port,Length
172.253.144.132,192.168.0.116,TCP,443,50230,164
172.253.144.132,192.168.0.116,TCP,443,50230,1466
172.253.144.132,192.168.0.116,TCP,443,50230,1466
172.253.144.132,192.168.0.116,TCP,443,50230,1466
192.168.0.116,172.253.144.132,TCP,50230,443,66
172.253.144.132,192.168.0.116,TCP,443,50230,1466
172.253.144.132,192.168.0.116,TCP,443,50230,379
192.168.0.116,172.253.144.132,TCP,50230,443,66
192.168.0.116,172.253.144.132,TCP,50230,443,105
172.253.144.132,192.168.0.116,TCP,443,50230,66
192.168.0.116,64.233.170.119,TCP,34698,443,296
192.168.0.116,64.233.170.119,TCP,34698,443,422
192.168.0.116,64.233.170.119,TCP,34698,443,788
192.168.0.116,142.251.126.132,TCP,48278,443,74
142.251.126.132,192.168.0.116,TCP,443,48278,74
192.168.0.116,142.251.126.132,TCP,48278,443,66
192.168.0.116,142.251.126.132,TCP,48278,443,1807
142.251.126.132,192.168.0.116,TCP,443,48278,66
142.251.126.132,192.168.0.116,TCP,443,48278,66
142.251.126.132,192.168.0.116,TCP,443,48278,5449
192.168.0.116,142.251.126.132,TCP,48278,443,66
192.168.0.116,142.251.126.132,TCP,48278,443,140
192.168.0.116,142.251.126.132,TCP,48278,443,158
192.168.0.116,142.251.126.132,TCP,48278,443,1008
142.251.126.132,192.168.0.116,TCP,443,48278,1046
142.251.126.132,192.168.0.116,TCP,443,48278,97
192.168.0.116,142.251.126.132,TCP,48278,443,66
192.168.0.116,142.251.126.132,TCP,48278,443,97
142.251.126.132,192.168.0.116,TCP,443,48278,595
142.251.126.132,192.168.0.116,TCP,443,48278,1466
142.251.126.132,192.168.0.116,TCP,443,48278,1466
142.251.126.132,192.168.0.116,TCP,443,48278,1466
142.251.126.132,192.168.0.116,TCP,443,48278,1466
142.251.126.132,192.168.0.116,TCP,443,48278,1466
142.251.126.132,192.168.0.116,TCP,443,48278,1466
142.251.126.132,192.168.0.116,TCP,443,48278,1466
142.251.126.132,192.168.0.116,TCP,443,48278,2866
142.251.126.132,192.168.0.116,TCP,443,48278,1466
142.251.126.132,192.168.0.116,TCP,443,48278,1466
142.251.126.132,192.168.0.116,TCP,443,48278,1466
192.168.0.116,142.251.126.132,TCP,48278,443,66
142.251.126.132,192.168.0.116,TCP,443,48278,1466
142.251.126.132,192.168.0.116,TCP,443,48278,1466
192.168.0.116,142.251.126.132,TCP,48278,443,66
142.251.126.132,192.168.0.116,TCP,443,48278,1466
142.251.126.132,192.168.0.116,TCP,443,48278,2866
192.168.0.116,142.251.126.132,TCP,48278,443,66
142.251.126.132,192.168.0.116,TCP,443,48278,2866
64.233.170.119,192.168.0.116,TCP,443,34698,2866
64.233.170.119,192.168.0.116,TCP,443,34698,2866
192.168.0.116,64.233.170.119,TCP,34698,443,66
192.178.211.95,192.168.0.116,TCP,443,49838,66
64.233.170.119,192.168.0.116,TCP,443,34698,2866
192.178.211.95,192.168.0.116,TCP,443,49838,186
192.178.211.95,192.168.0.116,TCP,443,49838,181
192.168.0.116,192.178.211.95,TCP,49838,443,78
192.178.211.95,192.168.0.116,TCP,443,49838,97
192.178.211.95,192.168.0.116,TCP,443,49838,105
192.168.0.116,192.178.211.95,TCP,49838,443,78
192.168.0.116,192.178.211.95,TCP,49838,443,78
192.178.211.95,192.168.0.116,TCP,443,49838,783
192.168.0.116,142.251.106.113,TCP,60070,443,74
142.251.106.113,192.168.0.116,TCP,443,60070,74
192.168.0.116,142.251.106.113,TCP,60070,443,66
192.168.0.116,142.251.106.113,TCP,60070,443,1833
142.251.106.113,192.168.0.116,TCP,443,60070,66
142.251.106.113,192.168.0.116,TCP,443,60070,66
142.251.106.113,192.168.0.116,TCP,443,60070,1466
192.168.0.116,142.251.106.113,TCP,60070,443,66
142.251.106.113,192.168.0.116,TCP,443,60070,1466
142.251.106.113,192.168.0.116,TCP,443,60070,2274
192.168.0.116,142.251.106.113,TCP,60070,443,66
192.168.0.116,142.251.106.113,TCP,60070,443,78
142.251.106.113,192.168.0.116,TCP,443,60070,1466
192.168.0.116,142.251.106.113,TCP,60070,443,66
192.168.0.116,142.251.106.113,TCP,60070,443,140
192.168.0.116,142.251.106.113,TCP,60070,443,158
192.168.0.116,142.251.106.113,TCP,60070,443,3546
142.251.106.113,192.168.0.116,TCP,443,60070,1034
142.251.106.113,192.168.0.116,TCP,443,60070,97
142.251.106.113,192.168.0.116,TCP,443,60070,78
192.168.0.116,142.251.106.113,TCP,60070,443,66
192.168.0.116,142.251.106.113,TCP,60070,443,97
192.168.0.116,142.251.106.113,TCP,60070,443,1466
142.251.106.113,192.168.0.116,TCP,443,60070,86
192.168.0.116,142.251.106.113,TCP,60070,443,746
142.251.106.113,192.168.0.116,TCP,443,60070,78
142.251.106.113,192.168.0.116,TCP,443,60070,66
192.168.0.116,172.64.155.209,TCP,60616,443,1454
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,66
192.168.0.116,172.64.155.209,TCP,60616,443,1454
192.168.0.116,172.64.155.209,TCP,60616,443,1454
172.64.155.209,192.168.0.116,TCP,443,60616,66
192.168.0.116,172.64.155.209,TCP,60616,443,1454
192.178.174.95,192.168.0.116,UDP,443,37077,119
192.168.0.116,192.178.174.95,UDP,37077,443,76
192.168.0.116,8.8.8.8,ICMP,-,-,98
8.8.8.8,192.168.0.116,ICMP,-,-,98
192.168.0.116,8.8.8.8,ICMP,-,-,98
8.8.8.8,192.168.0.116,ICMP,-,-,98
192.168.0.116,8.8.8.8,ICMP,-,-,98
8.8.8.8,192.168.0.116,ICMP,-,-,98
192.168.0.116,8.8.8.8,ICMP,-,-,98
8.8.8.8,192.168.0.116,ICMP,-,-,98
192.168.0.116,8.8.8.8,ICMP,-,-,98
8.8.8.8,192.168.0.116,ICMP,-,-,98
192.168.0.1,192.168.0.116,ARP,-,-,42
192.168.0.116,192.168.0.1,ARP,-,-,42
192.168.0.116,172.64.148.235,TCP,53204,443,157
172.64.148.235,192.168.0.116,TCP,443,53204,66
172.64.148.235,192.168.0.116,TCP,443,53204,151
192.168.0.116,172.64.148.235,TCP,53204,443,66
